disasterNumber,state,incidentType,declarationTitle,incidentBeginDate,declarationDate
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4919,MA,Winter Storm,SEVERE WINTER STORM AND SNOWSTORM,2026-02-22T00:00:00.000Z,2026-06-30T00:00:00.000Z
4312,CA,Severe Storm,FLOODING,2017-02-08T00:00:00.000Z,2017-05-02T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4651,MA,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,2022-01-28T00:00:00.000Z,2022-04-18T00:00:00.000Z
4496,MA,Biological,COVID-19 PANDEMIC,2020-01-20T00:00:00.000Z,2020-03-27T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4419,AL,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2019-03-03T00:00:00.000Z,2019-03-05T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4328,OR,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-08-08T00:00:00.000Z
4328,OR,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-08-08T00:00:00.000Z
4328,OR,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-08-08T00:00:00.000Z
4328,OR,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-08-08T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4927,LA,Tropical Storm,TROPICAL STORM ARTHUR,2026-06-17T00:00:00.000Z,2026-06-30T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
4251,AL,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2015-12-23T00:00:00.000Z,2016-01-21T00:00:00.000Z
